Groups:

Data:
time unit: ps, TCK, TMS, TDI_jtag, TDO_jtag, trigger, state_led1, 
0, X, X, X, X, X, X, 
3226586, 1, 1, 0, 1, 0, 1, 
3239919, 1, 1, 0, 1, 0, 1, 
3253252, 1, 1, 0, 1, 0, 1, 
3266585, 1, 1, 0, 1, 0, 1, 
3279918, 1, 1, 0, 1, 0, 1, 
3293251, 1, 1, 0, 1, 0, 1, 
3306584, 1, 1, 0, 1, 0, 1, 
3319917, 1, 1, 0, 1, 0, 1, 
3333250, 1, 1, 0, 1, 0, 1, 
3346583, 1, 1, 0, 1, 0, 1, 
3359916, 1, 1, 0, 1, 0, 1, 
3373249, 1, 1, 0, 1, 0, 1, 
3386582, 1, 1, 0, 1, 0, 1, 
3399915, 1, 1, 0, 1, 0, 1, 
3413248, 1, 1, 0, 1, 0, 1, 
3426581, 1, 1, 0, 1, 0, 1, 
3439914, 1, 1, 0, 1, 0, 1, 
3453247, 1, 1, 0, 1, 0, 1, 
3466580, 1, 1, 0, 1, 0, 1, 
3479913, 1, 1, 0, 1, 0, 1, 
3493246, 1, 1, 0, 1, 0, 1, 
3506579, 1, 1, 0, 1, 0, 1, 
3519912, 1, 1, 0, 1, 0, 1, 
3533245, 1, 1, 0, 1, 0, 1, 
3546578, 1, 1, 0, 1, 0, 1, 
3559911, 1, 1, 0, 1, 0, 1, 
3573244, 1, 1, 0, 1, 0, 1, 
3586577, 1, 1, 0, 1, 0, 1, 
3599910, 1, 1, 0, 1, 0, 1, 
3613243, 1, 1, 0, 1, 0, 1, 
3626576, 1, 1, 0, 1, 0, 1, 
3639909, 1, 1, 0, 1, 0, 1, 
3653242, 1, 1, 0, 1, 0, 1, 
3666575, 1, 1, 0, 1, 0, 1, 
3679908, 1, 1, 0, 1, 0, 1, 
3693241, 1, 1, 0, 1, 0, 1, 
3706574, 1, 1, 0, 1, 0, 1, 
3719907, 1, 1, 0, 1, 0, 1, 
3733240, 1, 1, 0, 1, 0, 1, 
3746573, 1, 1, 0, 1, 0, 1, 
3759906, 1, 1, 0, 1, 0, 1, 
3773239, 1, 1, 0, 1, 0, 1, 
3786572, 1, 1, 0, 1, 0, 1, 
3799905, 1, 1, 0, 1, 0, 1, 
3813238, 1, 1, 0, 1, 0, 1, 
